participant_id,trial_index,stimulus_file,depth_grid_json,depth_grid_row_index,depth_grid_probe_y_fraction,probe_y_px,x_left_px,x_right_px,x_left_norm,x_right_norm,task_x_left_norm,task_x_right_norm,anchor_left_depth_near,anchor_right_depth_near,anchor_left_depth_near_texture,anchor_right_depth_near_texture,anchor_left_gap,anchor_right_gap,cue_probe_v,cue_probe_y_frac,x1_norm,x2_norm,x3_norm,x4_norm,x5_norm,response1_ui,response2_ui,response3_ui,response4_ui,response5_ui,response1_depth_near,response2_depth_near,response3_depth_near,response4_depth_near,response5_depth_near,shading_depth1_near,shading_depth2_near,shading_depth3_near,shading_depth4_near,shading_depth5_near,texture_depth1_near,texture_depth2_near,texture_depth3_near,texture_depth4_near,texture_depth5_near,trial_view_seconds,shape_label,shape_index,shape_dir,combo_code,shading_level_code,shading_level_name,shading_level_value,texture_level_code,texture_level_name,texture_level_value,repeat_index,experiment_trial_index
p001,1,CB.png,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134330/depth_grid.json,28,0.6890156918687589,534,93,719,0.11639549436795996,0.899874843554443,0.11639549436795996,0.899874843554443,0.10133905708789825,0.10133905708789825,0.11935129761695862,0.11935129761695862,0.018012240529060364,0.018012240529060364,-0.29485360787020265,0.6890156918687589,0.2469753921031952,0.3775552809238434,0.5081351399421692,0.6387150883674622,0.7692949771881104,0.020601196214556694,0.07701697200536728,-0.011223088018596172,-0.0842742845416069,-0.0842742845416069,0.020601196214556694,0.07701697200536728,-0.011223088018596172,-0.0842742845416069,-0.0842742845416069,0.24626851081848145,0.1459842175245285,-0.028331054374575615,-0.1527280956506729,-0.15116767585277557,0.17014001309871674,0.06381839513778687,0.2395179271697998,0.24820081889629364,0.020359918475151062,19.33056402206421,shape1,1,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134330,CB,C,High,0.7,B,Med,150.0,2,1
p001,2,BB.png,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134625/depth_grid.json,23,0.6230769230769231,486,107,756,0.13391739674593242,0.9461827284105131,0.13391739674593242,0.9461827284105131,0.19299370050430298,0.19299370050430298,0.21258658170700073,0.21258658170700073,0.019592881202697754,0.019592881202697754,-0.21659745436448308,0.6230769230769231,0.26929494738578796,0.4046725034713745,0.5400500893592834,0.6754276156425476,0.8108052015304565,-0.0842742845416069,-0.0842742845416069,0.04157629236578941,0.009752008132636547,-0.030751625075936317,-0.0842742845416069,-0.0842742845416069,0.04157629236578941,0.009752008132636547,-0.030751625075936317,-0.05668610334396362,-0.14689461886882782,0.02990890108048916,-0.14960899949073792,-0.010790383443236351,0.03427441418170929,-0.13429294526576996,-0.35665348172187805,-0.41674938797950745,-0.07695826143026352,12.76327395439148,shape2,2,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134625,BB,B,Med,0.35,B,Med,150.0,4,2
p001,3,CA.png,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134330/depth_grid.json,28,0.6890156918687589,534,93,719,0.11639549436795996,0.899874843554443,0.11639549436795996,0.899874843554443,0.10133905708789825,0.10133905708789825,0.11935129761695862,0.11935129761695862,0.018012240529060364,0.018012240529060364,-0.29485360787020265,0.6890156918687589,0.2469753921031952,0.3775552809238434,0.5081351399421692,0.6387150883674622,0.7692949771881104,-0.02496539242565632,0.05748843401670456,0.11607404798269272,0.05748843401670456,-0.006160133983939886,-0.02496539242565632,0.05748843401670456,0.11607404798269272,0.05748843401670456,-0.006160133983939886,0.24626851081848145,0.1459842175245285,-0.028331054374575615,-0.1527280956506729,-0.15116767585277557,0.17014001309871674,0.06381839513778687,0.2395179271697998,0.24820081889629364,0.020359918475151062,10.876221179962158,shape1,1,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134330,CA,C,High,0.7,A,Low,0.0,4,3
p001,4,BC.png,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134330/depth_grid.json,28,0.6890156918687589,534,93,719,0.11639549436795996,0.899874843554443,0.11639549436795996,0.899874843554443,0.10133905708789825,0.10133905708789825,0.11935129761695862,0.11935129761695862,0.018012240529060364,0.018012240529060364,-0.29485360787020265,0.6890156918687589,0.2469753921031952,0.3775552809238434,0.5081351399421692,0.6387150883674622,0.7692949771881104,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,0.24626851081848145,0.1459842175245285,-0.028331054374575615,-0.1527280956506729,-0.15116767585277557,0.17014001309871674,0.06381839513778687,0.2395179271697998,0.24820081889629364,0.020359918475151062,5.812664985656738,shape1,1,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134330,BC,B,Med,0.35,C,High,250.0,2,4
p001,5,BA.png,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134330/depth_grid.json,28,0.6890156918687589,534,93,719,0.11639549436795996,0.899874843554443,0.11639549436795996,0.899874843554443,0.10133905708789825,0.10133905708789825,0.11935129761695862,0.11935129761695862,0.018012240529060364,0.018012240529060364,-0.29485360787020265,0.6890156918687589,0.2469753921031952,0.3775552809238434,0.5081351399421692,0.6387150883674622,0.7692949771881104,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,0.24626851081848145,0.1459842175245285,-0.028331054374575615,-0.1527280956506729,-0.15116767585277557,0.17014001309871674,0.06381839513778687,0.2395179271697998,0.24820081889629364,0.020359918475151062,0.8077292442321777,shape1,1,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134330,BA,B,Med,0.35,A,Low,0.0,2,5
p001,6,BB.png,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134330/depth_grid.json,28,0.6890156918687589,534,93,719,0.11639549436795996,0.899874843554443,0.11639549436795996,0.899874843554443,0.10133905708789825,0.10133905708789825,0.11935129761695862,0.11935129761695862,0.018012240529060364,0.018012240529060364,-0.29485360787020265,0.6890156918687589,0.2469753921031952,0.3775552809238434,0.5081351399421692,0.6387150883674622,0.7692949771881104,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,0.24626851081848145,0.1459842175245285,-0.028331054374575615,-0.1527280956506729,-0.15116767585277557,0.17014001309871674,0.06381839513778687,0.2395179271697998,0.24820081889629364,0.020359918475151062,0.5223851203918457,shape1,1,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134330,BB,B,Med,0.35,B,Med,150.0,3,6
p001,7,BA.png,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134625/depth_grid.json,23,0.6230769230769231,486,107,756,0.13391739674593242,0.9461827284105131,0.13391739674593242,0.9461827284105131,0.19299370050430298,0.19299370050430298,0.21258658170700073,0.21258658170700073,0.019592881202697754,0.019592881202697754,-0.21659745436448308,0.6230769230769231,0.26929494738578796,0.4046725034713745,0.5400500893592834,0.6754276156425476,0.8108052015304565,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.05668610334396362,-0.14689461886882782,0.02990890108048916,-0.14960899949073792,-0.010790383443236351,0.03427441418170929,-0.13429294526576996,-0.35665348172187805,-0.41674938797950745,-0.07695826143026352,1.1957530975341797,shape2,2,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134625,BA,B,Med,0.35,A,Low,0.0,4,7
p001,8,BC.png,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134625/depth_grid.json,23,0.6230769230769231,486,107,756,0.13391739674593242,0.9461827284105131,0.13391739674593242,0.9461827284105131,0.19299370050430298,0.19299370050430298,0.21258658170700073,0.21258658170700073,0.019592881202697754,0.019592881202697754,-0.21659745436448308,0.6230769230769231,0.26929494738578796,0.4046725034713745,0.5400500893592834,0.6754276156425476,0.8108052015304565,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.05668610334396362,-0.14689461886882782,0.02990890108048916,-0.14960899949073792,-0.010790383443236351,0.03427441418170929,-0.13429294526576996,-0.35665348172187805,-0.41674938797950745,-0.07695826143026352,1.8560891151428223,shape2,2,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134625,BC,B,Med,0.35,C,High,250.0,4,8
p001,9,CC.png,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134625/depth_grid.json,23,0.6230769230769231,486,107,756,0.13391739674593242,0.9461827284105131,0.13391739674593242,0.9461827284105131,0.19299370050430298,0.19299370050430298,0.21258658170700073,0.21258658170700073,0.019592881202697754,0.019592881202697754,-0.21659745436448308,0.6230769230769231,0.26929494738578796,0.4046725034713745,0.5400500893592834,0.6754276156425476,0.8108052015304565,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.05668610334396362,-0.14689461886882782,0.02990890108048916,-0.14960899949073792,-0.010790383443236351,0.03427441418170929,-0.13429294526576996,-0.35665348172187805,-0.41674938797950745,-0.07695826143026352,1.434319019317627,shape2,2,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134625,CC,C,High,0.7,C,High,250.0,3,9
p001,10,CB.png,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134625/depth_grid.json,23,0.6230769230769231,486,107,756,0.13391739674593242,0.9461827284105131,0.13391739674593242,0.9461827284105131,0.19299370050430298,0.19299370050430298,0.21258658170700073,0.21258658170700073,0.019592881202697754,0.019592881202697754,-0.21659745436448308,0.6230769230769231,0.26929494738578796,0.4046725034713745,0.5400500893592834,0.6754276156425476,0.8108052015304565,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.0842742845416069,-0.05668610334396362,-0.14689461886882782,0.02990890108048916,-0.14960899949073792,-0.010790383443236351,0.03427441418170929,-0.13429294526576996,-0.35665348172187805,-0.41674938797950745,-0.07695826143026352,3.6966969966888428,shape2,2,/Users/kelvin/Desktop/school/s8/cpsy 1591/cpsy1591-project-kelvin-kenneth/stimuli_grid9/shape_sd-1.35_20260407_134625,CB,C,High,0.7,B,Med,150.0,4,10
